Date,Product,Customer_Category
01/07/2023,"['Vinegar', 'Stationery', 'Carrots', 'Milk', 'Deodorant']",Homemaker
01/07/2023,"['Baby Wipes', 'Coffee','Biscuit', 'Dish Soap', 'Dish Soap', 'Dhal']",Middle-Aged
01/07/2023,"['Eggs', 'Mop', 'Olive Oil', 'Milk', 'Paper Towel For Faces']",Young Adult
01/07/2023,"['Vinegar', 'Mop', 'Soap', 'Plant Fertilizer']",Middle-Aged
01/07/2023,"['Toothbrush', 'Banana', 'Peanut Butter']",Middle-Aged
01/07/2023,"['Cooking Oil', 'Tissues', 'Soda', 'Peanut Butter']",Senior Citizen
01/07/2023,"['Yogurt', 'Broom', 'Yogurt', 'Salt', 'Baby Wipes']",Senior Citizen
01/07/2023,"['Pickles', 'Dish Soap', 'Dish Soap', 'Dustpan']",Middle-Aged
01/07/2023,"['Shaving Cream','Rice','Spices','Dhal', 'Cooking Oil', 'Tea','Biscuit']",Teenager
01/07/2023,"['Mustard', 'Dhal', 'Shower Gel', 'Toothbrush', 'Light Bulbs']",Young Adult
01/07/2023,"['Deodorant', 'Rice','Spices','Dhal','Spinach', 'Coconut oil', 'Toothpaste',  'Tongue Cleaner', 'Semiya']",Middle-Aged
01/07/2023,"['Cereal', 'Dish Soap']",Young Adult
01/07/2023,"['Wheat Flour', 'Pickles', 'Saftey Razor Blade']",Young Adult
01/07/2023,"['Toothpaste',  'Tongue Cleaner', 'Paper Towel For Faces', 'Chips', 'Toothpaste',  'Tongue Cleaner']",Homemaker
01/07/2023,"['Orange', 'Spinach', 'Vinegar', 'Rice','Spices','Dhal']",Homemaker
01/07/2023,"['Shaving Cream', 'Jam','Bread', 'Honey', 'Dhal']",Middle-Aged
01/07/2023,"['Salt', 'Cereal','Rice','Spices','Dhal', 'Dhal']",Homemaker
01/07/2023,"['Toothpaste',  'Tongue Cleaner', 'Olive Oil', 'Broom', 'Cleaning Spray']",Young Adult
01/07/2023,"['Rice','Spices','Dhal']",Young Adult
01/07/2023,"['Milk', 'Toothbrush', 'Carrots', 'Toothpaste',  'Tongue Cleaner', 'Spinach']",Young Adult
01/07/2023,"['Chocolate', 'Coconut oil']",Senior Citizen
01/07/2023,"['Apple', 'Shampoo']",Homemaker
01/07/2023,"['Pasta', 'Hair Gel', 'Olive Oil', 'Onions','Spices','Dhal']",Young Adult
01/07/2023,['Chips'],Homemaker
01/07/2023,"['Honey', 'Tissues', 'Chocolate']",Senior Citizen
01/07/2023,"['Insect Repellent', 'Cheese', 'Dustpan', 'Insect Repellent', 'Soda']",Middle-Aged
01/07/2023,"['Cereal Bars', 'Rice','Spices','Dhal', 'Semiya', 'Dhal']",Homemaker
01/07/2023,"['Peanut Butter', 'Semiya', 'Sugar', 'Spinach', 'Rice','Spices','Dhal']",Young Adult
01/07/2023,"['Ice Cream', 'Salt', 'Dish Soap', 'Saftey Razor Blade']",Homemaker
01/07/2023,"['Insect Repellent', 'Dustpan', 'Tomatoes']",Young Adult
01/07/2023,"['Plant Fertilizer', 'Olive Oil', 'Jam','Bread', 'Juices','Chips']",Young Adult
01/07/2023,"['Trash Bags', 'Deodorant', 'Semiya']",Young Adult
01/07/2023,"['Trash Bags', 'Sugar', 'Wheat Flour', 'Bread', 'Toothpaste',  'Tongue Cleaner']",Young Adult
01/07/2023,"['Dish Soap', 'Dish Soap', 'Toilet Freshner', 'Toothpaste',  'Tongue Cleaner', 'Salt']",Middle-Aged
01/07/2023,"['Soda', 'Toothbrush', 'Cereal']",Young Adult
01/07/2023,"['Mop', 'Ragi Malt', 'Dishwash scrubber', 'Hair Gel', 'Carrots']",Teenager
01/07/2023,"['Saftey Razor Blade', 'Toilet Freshner', 'Broom', 'Carrots', 'Vinegar']",Senior Citizen
01/07/2023,"['Deodorant', 'Jam','Bread', 'Sugar', 'Vegetables']",Senior Citizen
01/07/2023,"['Honey', 'Vinegar', 'Potatoes']",Young Adult
01/07/2023,['Mustard'],Middle-Aged
01/07/2023,"['Cleaner', 'Air Freshener', 'Wheat Rava', 'Deodorant', 'Broom']",Teenager
01/07/2023,['Cleaning Spray'],Teenager
01/07/2023,"['Dish Soap', 'Power Strips', 'Laundry Detergent', 'Bread', 'Bread']",Young Adult
01/07/2023,"['Coffee','Biscuit', 'Power Strips']",Middle-Aged
01/07/2023,"['Plant Fertilizer', 'Semiya', 'Vegetables', 'Soap', 'Trash Bags']",Senior Citizen
01/07/2023,"['Laundry Detergent', 'Cleaning Spray', 'Air Freshener']",Teenager
01/07/2023,"['Olive Oil', 'Deodorant', 'Mop', 'Cereal', 'Air Freshener']",Young Adult
01/07/2023,['Hand Sanitizer'],Young Adult
01/07/2023,"['Power Strips', 'Soap', 'Dishwash scrubber', 'Yogurt', 'Dishwash scrubber']",Middle-Aged
01/07/2023,"['Onions', 'Coffee','Biscuit', 'Onions']",Middle-Aged
01/07/2023,"['Rice','Spices','Dhal','Vegetables']",Homemaker
01/07/2023,"['Sugar', 'Feminine Hygiene Products','Paper Towel for Faces', 'Light Bulbs', 'Air Freshener']",Middle-Aged
01/07/2023,['Laundry Detergent'],Middle-Aged
01/07/2023,"['Carrots', 'Soap', 'Shaving Cream', 'Paper Towel For Faces']",Middle-Aged
01/07/2023,"['Tea','Biscuit', 'Spinach', 'Pickles', 'Wheat Flour', 'Toothbrush']",Senior Citizen
01/07/2023,"['Shaving Cream', 'Yogurt', 'Toilet Freshner', 'Orange', 'Baby Wipes']",Young Adult
01/07/2023,"['Deodorant', 'Olive Oil', 'Peanut Butter']",Teenager
01/07/2023,"['Yogurt', 'Shaving Cream', 'Rice','Spices','Dhal']",Young Adult
01/07/2023,"['Hand Sanitizer', 'Paper Towel For Faces']",Teenager
01/07/2023,"['Deodorant', 'Milk']",Teenager
01/07/2023,"['Light Bulbs', 'Ice Cream', 'Vinegar','Spices','Dhal']",Young Adult
01/07/2023,"['Toothpaste',  'Tongue Cleaner', 'Milk', 'Dish Soap', 'Nuts', 'Shampoo']",Teenager
01/07/2023,"['Toothpaste',  'Tongue Cleaner']",Senior Citizen
01/07/2023,"['Insect Repellent', 'Jam','Bread', 'Carrots']",Teenager
01/07/2023,,Teenager
01/07/2023,"['Pickles', 'Hair Gel', 'Mop']",Senior Citizen
01/07/2023,"['Cleaner', 'Spices','Dhal', 'Ice Cream', 'Shaving Cream', 'Chips']",Young Adult
01/07/2023,"['Rice','Spices','Dhal']",Young Adult
01/07/2023,"['Air Freshener', 'Saftey Razor Blade', 'Tomatoes', 'Toothbrush', 'Cheese']",Middle-Aged
01/07/2023,"['Shampoo','Bathing soap']",Young Adult
01/07/2023,"['Olive Oil', 'Soda', 'Hair Gel']",Senior Citizen
01/07/2023,"['Broom', 'Dishwash scrubber', 'Ketchup', 'Deodorant', 'Peanut Butter']",Teenager
01/07/2023,"['Tea','Biscuit', 'Banana', 'Vinegar', 'Coffee','Biscuit', 'Pickles']",Senior Citizen
01/07/2023,"['Rice','Spices','Dhal']",Middle-Aged
01/07/2023,"['Wheat Rava', 'Soap']",Senior Citizen
01/07/2023,"['Mop', 'Chips', 'Olive Oil', 'Toilet Freshner', 'Tomatoes']",Teenager
01/07/2023,"['Tomatoes','paneer']",Middle-Aged
01/07/2023,"['Saftey Razor Blade', 'Plant Fertilizer', 'Yogurt']",Young Adult
01/07/2023,"['Dhal', 'Toothpaste',  'Tongue Cleaner']",Homemaker
01/07/2023,"['Kambu Rice', 'Toothpaste',  'Tongue Cleaner', 'Power Strips', 'Nuts']",Homemaker
01/07/2023,"['Potatoes', 'Power Strips', 'Coconut oil']",Teenager
01/07/2023,['Body wash'],Senior Citizen
01/07/2023,"['Diapers', 'Toilet Freshner', 'Olive Oil', 'Peanut Butter']",Homemaker
01/07/2023,"['Coffee','Biscuit', 'Saftey Razor Blade','Spices','Dhal']",Young Adult
01/07/2023,"['Pickles', 'Cleaner', 'Baby Wipes', 'Insect Repellent', 'Insect Repellent']",Teenager
01/07/2023,"['Stationery', 'Milk', 'Yogurt', 'Eggs']",Senior Citizen
01/07/2023,,Homemaker
01/07/2023,"['Hand Sanitizer', 'Tomatoes', 'Vinegar', 'Power Strips', 'Salt']",Senior Citizen
01/07/2023,['Ice Cream'],Homemaker
02/07/2023,"['Nuts', 'Toothbrush', 'Cooking Oil', 'Milk', 'Dishwash scrubber']",Young Adult
02/07/2023,"['Soda', 'Ketchup', 'Kambu Rice']",Young Adult
02/07/2023,"['Rice','Spices','Dhal']",Middle-Aged
02/07/2023,['Milk'],Homemaker
02/07/2023,"['Shampoo', 'Olive Oil', 'Cheese', 'Vinegar', 'Yogurt']",Young Adult
02/07/2023,"['Shampoo', 'Cereal', 'Peanut Butter', 'Tomatoes', 'Broom']",Senior Citizen
02/07/2023,['Wheat Rava'],Middle-Aged
02/07/2023,"['Dustpan', 'Tea','Biscuit']",Young Adult
02/07/2023,"['Toothbrush', 'Soda', 'Nuts']",Homemaker
02/07/2023,['Chocolate'],Teenager
02/07/2023,"['Plant Fertilizer', 'Toothpaste',  'Tongue Cleaner', 'Bread']",Senior Citizen
02/07/2023,"['Plant Fertilizer', 'Body wash']",Young Adult
02/07/2023,"['Cleaner', 'Power Strips', 'Semiya', 'Wheat Flour']",Middle-Aged
02/07/2023,['Toilet Freshner'],Young Adult
02/07/2023,"['Tissues', 'Paper Towel For Faces', 'Feminine Hygiene Products','Paper Towel for Faces', 'Light Bulbs']",Middle-Aged
02/07/2023,"['Coconut oil', 'Vegetables', 'Semiya', 'Juices','Chips', 'Dustpan']",Young Adult
02/07/2023,"['Mustard', 'Onions', 'Onions', 'Wheat Flour']",Teenager
02/07/2023,"['Insect Repellent', 'Shaving Cream', 'Ragi Malt', 'Toilet Freshner']",Teenager
02/07/2023,"['Shaving Cream', 'Olive Oil', 'Baby Wipes', 'Orange', 'Rice','Spices','Dhal']",Young Adult
02/07/2023,"['Coffee','Biscuit', 'Insect Repellent', 'Toothpaste',  'Tongue Cleaner', 'Saftey Razor Blade']",Young Adult
02/07/2023,['Cleaning Spray'],Homemaker
02/07/2023,"['Apple', 'Paper Towel For Faces']",Senior Citizen
02/07/2023,"['Carrots', 'Ketchup', 'Cereal']",Teenager
02/07/2023,"['Plant Fertilizer', 'Spices','Dhal', 'Wheat Rava']",Middle-Aged
02/07/2023,"['Shampoo', 'Trash Bags', 'Diapers', 'Honey']",Homemaker
02/07/2023,"['Cereal', 'Air Freshener', 'Vegetables', 'Potatoes', 'Kambu Rice']",Young Adult
02/07/2023,"['Wheat Rava', 'Dishwash scrubber', 'Pickles', 'Carrots', 'Baby Wipes']",Homemaker
02/07/2023,"['Bread', 'Shaving Cream', 'Jam','Bread']",Teenager
02/07/2023,"['Hair Gel', 'Eggs', 'Body wash', 'Vegetables']",Homemaker
02/07/2023,"['Stationery', 'Dishwash scrubber', 'Salt', 'Juices','Chips', 'Chips']",Middle-Aged
02/07/2023,"['Potatoes', 'Feminine Hygiene Products','Paper Towel for Faces', 'Rice','Spices','Dhal', 'Coconut oil']",Homemaker
02/07/2023,"['Milk', 'Deodorant']",Teenager
02/07/2023,"['Cooking Oil', 'Insect Repellent', 'Stationery', 'Toothpaste',  'Tongue Cleaner', 'Insect Repellent']",Teenager
02/07/2023,['Nuts'],Young Adult
02/07/2023,"['Spinach', 'Ragi Malt','Spices','Dhal']",Teenager
02/07/2023,"['Paper Towel For Faces', 'Vegetables', 'Peanut Butter', 'Yogurt', 'Dish Soap']",Teenager
02/07/2023,"['Hair Gel', 'Shower Gel', 'Coffee','Biscuit']",Middle-Aged
02/07/2023,['Ragi Malt'],Senior Citizen
02/07/2023,"['Chocolate', 'Banana', 'Eggs', 'Olive Oil', 'Juices','Chips']",Middle-Aged
02/07/2023,"['Spices','Dhal']",Middle-Aged
02/07/2023,"['Kambu Rice', 'Laundry Detergent']",Senior Citizen
